도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0901.001-1,82년생 김지영,조남주,,1,2016.10.14,13000,0,1,,9,1,2019.07.15,0,82년생 김지영.jpg
0901.002-1,천년의 질문,조정래,,2,2016.06.11,14800,0,1,,9,1,2019.07.15,0,
0901.003-1,아몬드,손원평,,3,2017.03.31,12000,0,1,,9,1,2019.07.15,0,아몬드.jpg
0901.004-1,일의 기쁨과 슬픔,장류진,,3,2019.10.25,14000,0,1,,9,1,2019.10.25,0,
0901.005-1,직지 아모르 마네트,김진명,,4,2019.08.01,14000,0,1,,9,1,2019.10.26,0,
0901.006-1,우리가 빛의 속도로 갈 수 없다면,김초엽,,5,2019.06.24,14000,0,1,,9,1,2019.10.27,0,
0901.007-1,소년이 온다,한강,,3,2014.05.19,12000,0,1,,9,1,2019.10.27,0,
0901.008-1,날씨가 좋으면 찾아가겠어요,이도우,,6,2018.07.01,13800,0,1,,9,1,2019.10.27,0,날씨가 좋으면 찾아가겠어요.jpg
0901.009-1,빛의 과거,은희경,,7,2019.08.30,14000,0,1,,9,1,2019.10.27,0,
0901.010-1,물 만난 물고기,이찬혁,,8,2019.09.26,15000,0,1,,9,1,2019.10.27,0,
0901.011-1,내게 무해한 사람,최은영,,9,2018.06.30,13500,0,1,,9,1,2019.10.27,0,
0901.012-1,피프티 피플,정세랑,,3,2016.11.21,14000,0,1,,9,1,2019.10.27,0,
0901.013-1,지구에서 한아뿐,정세랑,,10,2019.07.31,13000,0,1,,9,1,2019.10.27,0,
0901.014-1,사서함 110호의 우편물,이도우,,6,2016.03.18,13000,0,1,,9,1,2019.10.27,0,
0901.015-1,난장이가 쏘아올린 작은공,조세희,,11,2000.07.10,11000,0,1,,9,1,2019.10.27,0,
0901.016-1,바깥은 여름,김애란,,9,2017.06.28,13000,0,1,,9,1,2019.10.27,0,
0901.017-1,채식주의자,한강,,3,2007.10.30,12000,0,1,,9,1,2019.10.27,0,
0901.018-1,디디의 우산,황정은,,3,2019.01.11,14000,0,1,,9,1,2019.10.27,0,
0901.019-1,모순,양귀자,,12,2013.04.01,13000,0,1,,9,1,2019.10.27,0,
0901.020-1,회색 인간,김동식,,13,2017.12.27,13000,0,1,,9,1,2019.10.27,0,
0901.021-1,오직 한 사람의 차지,김금희,,9,2019.08.30,13500,0,0,,9,1,2019.10.27,0,
0901.022-1,최선의 삶,임솔아,,9,2015.07.17,10000,0,0,,9,1,2019.10.27,0,
0901.023-1,사하맨션,조남주,,1,2019.05.28,14000,0,0,,9,1,2019.10.27,0,
0901.024-1,목소리를 드릴게요,정세랑,,14,2020.01.06,14800,1,1,,9,1,2020.01.06,0,
0901.025-1,살인자의 기억법,김영하,,9,2013.07.24,10000,1,3,,9,1,2020.01.06,0,
0901.026-1,설이,심윤경,,15,2019.01.24,13000,1,3,,9,1,2020.01.06,0,
0901.027-1,레몬,권여선,,3,2019.04.22,13000,1,3,,9,1,2020.01.06,0,
0901.028-1,보건교사 안은영,정세랑,,1,2015.12.07,13000,0,2,,9,1,2020.01.06,0,
0901.029-1,오직 두 사람,김영하,,9,2017.05.25,13000,0,2,,9,1,2020.01.06,0,
0901.030-1,아직 멀었다는 말,권여선,,9,2020.02.14,13500,1,2,,9,1,2020.02.14,0,아직 멀었다는 말.jpg
0901.031-1,원미동 사람들,양귀자,,12,2012.12.25,13000,0,1,,9,1,2020.02.14,0,
0901.032-1,슬픈 쥐의 윤회,김용옥,,16,2019.09.09,16000,1,2,,9,1,2020.02.14,0,
0901.033-1,아가미,구병모,,17,2018.03.30,13000,1,2,,9,1,2020.02.14,0,
0901.034-1,옥상에서 만나요,정세랑,,3,2018.11.30,13000,1,2,,9,1,2020.02.14,0,
0901.035-1,두근두근 내 인생,김애란,,3,2011.06.02,12000,1,1,,9,1,2020.02.14,0,
0901.036-1,순이 삼촌,현기영,,3,2015.03.25,13500,0,0,,9,1,2020.02.14,0,
0901.037-1,버선발 이야기,백기완,,18,2019.03.15,13500,0,0,,9,1,2020.02.14,0,
0901.038-1,파과,구병모,,17,2018.04.16,14000,0,1,,9,1,2020.02.14,0,
0901.039-1,비행운,김애란,,7,2012.07.05,12000,0,1,,9,1,2020.02.14,0,
0901.040-1,딸에 대하여,김혜진,,1,2017.09.15,13000,0,1,,9,1,2020.02.14,0,
0901.041-1,7년의 밤,정유정,,19,2011.03.23,14500,0,1,,9,1,2020.02.14,0,
0901.042-1,칼의 노래,김훈,,9,2014.01.15,13500,0,0,,9,1,2020.02.14,0,
0901.043-1,나는 나를 파괴할 권리가 있다,김영하,,9,2010.07.30,10000,0,1,,9,1,2020.02.14,0,
0901.044-1,나의 아름다운 정원,심윤경,,15,2013.11.18,11000,0,1,,9,1,2020.02.14,0,
0901.045-1,항구의 사랑,김세희,,1,2019.06.14,13000,0,1,,9,1,2020.02.14,0,
0901.046-1,나는 소망한다 내게 금지된 것을,양귀자,,12,2019.04.20,13500,0,1,,9,1,2020.02.14,0,
0901.047-1,검은 꽃,김영하,,9,2010.02.16,11000,0,1,,9,1,2020.02.14,0,
0901.048-1,파도가 바다의 일이라면,김연수,,9,2015.10.03,13000,1,1,,9,1,2020.02.14,0,
0901.049-1,엄마를 부탁해,신경숙,,3,2008.10.24,13000,1,1,,9,1,2020.02.14,0,
0901.050-1,친애하고| 친애하는,백수린,,20,2019.02.25,11200,1,1,,9,1,2020.02.14,0,
0902.001-1,누구를 위하여 종은 울리나 (상),어네스트 밀러 헤밍웨이,이종인,21,2012.07.15,10800,1,2,,9,2,2019.07.15,0,누구를 위하여 종은 울리나(상).jpg
0902.002-1,누구를 위하여 종은 울리나 (하),어네스트 밀러 헤밍웨이,이종인,21,2012.07.15,10800,1,2,,9,2,2019.07.15,0,누구를 위하여 종은 울리나(하).jpg
0902.003-1,노인과 바다,어네스트 밀러 헤밍웨이,,9,2012.01.20,8000,1,2,,9,2,2019.07.15,0,노인과 바다.jpg
0902.004-1,초판본 오만과 편견,제인 오스틴,김유미,22,2019.07.15,16800,1,2,,9,2,2019.07.15,0,초판본 오만과 편견.jpg
0902.005-1,은하수를 여행하는 히치하이커를 위한 안내서 합본,더글러스 애덤스,김선형,23,2005.12.12,38000,0,1,,9,2,2019.07.15,0,은하수를 여행하는 히치하이커를 위한 안내서 합본.jpg
0902.006-1,작은 아씨들,루이자 메이 올콧,강미경,24,2020.02.12,16500,1,2,,9,2,2020.02.12,0,작은 아씨들.jpg
0902.007-1,1984,조지 오웰,정회성,1,2003.06.16,9500,1,2,,9,2,2020.02.12,0,1984.jpg
0902.008-1,앵무새 죽이기,하퍼 리,김욱동,21,2019.02.20,12800,1,2,,9,2,2020.02.12,0,앵무새 죽이기.jpg
0902.009-1,호밀밭의 파수꾼,제롬 데이비드 샐린저,공경희,1,2001.05.30,8000,1,2,,9,2,2020.02.12,0,호밀밭의 파수꾼.jpg
0902.010-1,멋진 신세계,올더스 헉슬리,이덕형,25,2018.03.20,11500,1,2,,9,2,2020.02.12,0,멋진 신세계.jpg
0902.011-1,갈매기의 꿈,리처드 바크,공경희,26,2018.06.01,12800,0,1,,9,2,2020.02.12,0,갈매기의 꿈.jpg
0902.012-1,죽은 시인의 사회,N.H 클라인바움,한은주,27,2004.03.30,12500,0,1,,9,2,2020.02.12,0,죽은 시인의 사회.jpg
0902.013-1,내 영혼이 따뜻했던 날들,포리스트 카터,조경숙,28,2014.05.30,15000,0,1,,9,2,2020.02.12,0,내 영혼이 따뜻했던 날들.jpg
0902.014-1,빛과 물질에 관한 이론,앤드루 포터,김이선,9,2019.05.13,13800,0,1,,9,2,2020.02.12,0,빛과 물질에 관한 이론.jpg
0902.015-1,달과 6펜스,윌리엄 서머싯 몸,,1,2000.06.30,9000,0,1,,9,2,2020.02.12,0,달과 6펜스.jpg
0902.016-1,파리대왕,윌리엄 골딩,,1,1999.02.28,8500,0,1,,9,2,2020.02.12,0,파리대왕.jpg
0902.017-1,키다리 아저씨,진 웹스터,허윤정,29,2019.08.01,14800,0,1,,9,2,2020.02.12,0,키다리 아저씨.jpg
0902.018-1,플란다스의 개,위다,손인혜,29,2019.05.10,13800,0,1,,9,2,2020.02.12,0,플란다스의 개.jpg
0902.019-1,그리고 아무도 없었다,애거사 크리스티,,30,2002.05.25,10000,0,1,,9,2,2020.02.12,0,그리고 아무도 없었다.jpg
0902.020-1,빨간 머리 앤,루시 모드 몽고메리,김양미,31,2018.06.15,14800,0,1,,9,2,2020.02.12,0,빨간 머리 앤.jpg
0902.021-1,위대한 개츠비,스콧 피츠제럴드,김영하,9,2009.12.15,9500,0,1,,9,2,2020.02.12,0,위대한 개츠비.jpg
0902.022-1,나니아 연대기,C.S. 루이스,햇살과나무꾼,32,2005.11.05,38000,0,1,,9,2,2020.02.12,0,나니아 연대기.jpg
0902.023-1,레베카,대프니 듀 모리에,이상원,20,2018.08.15,14000,0,1,,9,2,2020.02.12,0,레베카.jpg
0902.024-1,리버보이,팀 보울러,정해영,33,2018.08.17,13500,0,1,,9,2,2020.02.12,0,리버보이.jpg
0902.025-1,대성당(10주년 특별판),레이먼드 카버,김연수,9,2014.07.21,14500,0,1,,9,2,2020.02.12,0,대성당(10주년 특별판).jpg
0902.026-1,폭풍의 언덕,에밀리 브론테,,1,2005.03.15,11000,0,1,,9,2,2020.02.12,0,폭풍의 언덕.jpg
0902.027-1,마션,앤디 위어,박아람,24,2015.07.24,15000,0,1,,9,2,2020.02.12,0,마션.jpg
0902.028-1,프랑켄슈타인,메리 셸리,김선형,9,2012.06.18,11000,0,1,,9,2,2020.02.12,0,프랑켄슈타인.jpg
0902.029-1,빅 픽처,더글라스 케네디,조동섭,34,2010.06.10,12000,0,1,,9,2,2020.02.12,0,빅 픽처.jpg
0902.030-1,롤리타(10주년 특별판),블라디미르 나보코프,김진준,9,2013.03.04,14000,0,1,,9,2,2020.02.12,0,롤리타(10주년 특별판).jpg
0902.031-1,실마릴리온,J. R. R. 톨킨,,35,2010.08.10,33000,0,1,,9,2,2020.02.12,0,실마릴리온.jpg
0902.032-1,대지,펄 벅,이규희,36,2014.08.01,15000,0,1,,9,2,2020.02.12,0,대지.jpg
0902.033-1,말괄량이 길들이기,윌리엄 셰익스피어,,37,2017.02.28,10000,0,1,,9,2,2020.02.12,0,말괄량이 길들이기.jpg
0902.034-1,한여름 밤의 꿈,윌리엄 셰익스피어,,1,2008.02.28,8000,0,1,,9,2,2020.02.12,0,한여름 밤의 꿈.jpg
0902.035-1,햄릿,윌리엄 셰익스피어,,1,2001.02.28,7000,0,1,,9,2,2020.02.12,0,
0902.036-1,동물농장,조지 오웰,,1,2001.02.28,7000,0,1,,9,2,2020.02.12,0,동물농장.jpg
0902.037-1,모비딕,허먼 멜빌,김석희,38,2011.05.16,22000,0,1,,9,2,2020.02.12,0,모비딕.jpg
0902.038-1,주홍글씨,너새니얼 호손,조승국,25,2004.11.15,8000,0,1,,9,2,2020.02.12,0,주홍글씨.jpg
0902.039-1,무기여 잘 있거라,어네스트 밀러 헤밍웨이,권진아,9,2020.01.10,14000,0,1,,9,2,2020.02.12,0,무기여 잘 있거라.jpg
0902.040-1,로빈슨 크루소,대니얼 디포 윈저,,39,2016.03.01,6800,0,1,,9,2,2020.02.12,0,로빈슨 크루소.jpg
0902.041-1,죽음을 선택한 남자,데이비드 발다치,이한이,40,2018.08.10,14800,0,1,,9,2,2020.02.12,0,
0902.042-1,섬에 있는 서점,개브리얼 제빈,엄일녀,41,2017.10.05,14800,0,1,,9,2,2020.02.12,0,
0902.043-1,유년기의 끝,아서 C. 클라크,정영목,6,2016.12.16,14000,0,1,,9,2,2020.02.12,0,
0902.044-1,애크로이드 살인 사건,애거사 크리스티,,42,2013.12.31,10000,0,1,,9,2,2020.02.12,0,
0902.045-1,1977,데이비드 피스,김시현,9,2020.01.31,13500,0,1,,9,2,2020.02.12,0,
0902.046-1,제인 오스틴의 말들,제인 오스틴,박명숙,43,2019.10.01,16500,0,1,,9,2,2020.02.12,0,
0902.047-1,양들의 침묵,토머스 해리스,공보경,44,2019.09.11,13500,0,1,,9,2,2020.02.12,0,
0902.048-1,사악한 여왕,세레나 발렌티노,주정자,45,2018.10.05,13000,0,1,,9,2,2020.02.12,0,
0902.049-1,그레이스,마거릿 애트우드,이은선,1,2017.10.18,15800,0,0,,9,2,2020.02.12,0,
0401.001-1,행동과학과 사회과학을 위한 통계학 입문,Arthur Aron | Elliot J. Coups | Elaine N. Aron,신현정,46,2012.02.10,27000,0,2,,4,1,2019.07.15,0,행동과학과 사회과학을 위한 통계학 입문.jpg
0401.002-1,행동과학을 위한 통계학,David C.Howell,도경수 | 박태진 | 신현정,47,2018.02.23,30000,0,2,,4,1,2019.07.15,0,행동과학을 위한 통계학.jpg
0401.003-1,사회과학을 위한 통계학,김태일| 노화준,,48,2018.03.05,32000,0,2,,4,1,2019.07.15,0,사회과학을 위한 통계학.jpg
0401.004-1,인구 통계학의 이론과 실제,박정수| 구자홍,,49,2016.02.29,18000,0,2,,4,1,2019.07.15,0,인구 통계학의 이론과 실제.jpg
0401.005-1,닥터 현의 학위논문을 위한 통계학강의,현상규,,50,2016.05.18,15000,0,2,,4,1,2019.07.15,0,닥터 현의 학위논문을 위한 통계학강의.jpg
0401.006-1,사회통계학(사회조사분석사 대비),이기성| 남기성,,51,2009.01.30,23000,0,3,,4,1,2019.07.15,0,
0401.007-1,사회복지 조사방법론,김귀한,,52,2005.08.20,15000,0,3,,4,1,2019.07.15,0,사회복지 조사방법론.jpg
0401.008-1,빈곤통계의 작성과 활용,김주환,,53,2007.09.15,10500,0,3,,4,1,2019.07.15,0,빈곤통계의 작성과 활용.jpg
0401.009-1,통합연구방법론,ABBAS TASHAKKORI 외 ,염시창,47,2001.09.20,13000,0,3,,4,1,2019.07.15,0,통합연구방법론.jpg
0401.010-1,사회복지조사방법론,최성재,,54,2005.04.20,28000,0,3,,4,1,2019.07.15,0,사회복지조사방법론.jpg
0401.011-1,점쟁이와 통계학자 : 변평섭 칼럼집,변평섭,,55,2018.11.30,15000,0,3,,4,1,2019.07.15,0,점쟁이와 통계학자 - 변평섭 칼럼집.jpg
0401.012-1,사회과학 연구를 위한 통계학,권대훈,,47,2018.02.20,24000,0,3,,4,1,2019.07.15,0,사회과학 연구를 위한 통계학.jpg
0401.013-1,언어학자를 위한 통계학,David Eddington,홍성훈,56,2017.12.26,28000,0,3,,4,1,2019.07.15,0,언어학자를 위한 통계학.jpg
0401.014-1,통계학의 이해,송혜향| 김동재,,57,2015.08.30,24000,0,3,,4,1,2019.07.15,0,통계학의 이해.jpg
0401.015-1,거짓말로 배우는 10대들의 통계학,권재원,,58,2014.03.05,12000,0,3,,4,1,2019.07.15,0,거짓말로 배우는 10대들의 통계학..jpg
0401.016-1,법은 왜 부조리한가,레오 카츠,이주만,59,2012.06.21,15000,0,3,,4,1,2019.07.15,0,법은 왜 부조리한가.jpg
0401.017-1,법과 통계학,허명회,,60,2012.08.30,18000,0,3,,4,1,2019.07.15,0,법과 통계학.jpg
0401.018-1,행정통계학,김호정,,61,2016.02.17,23000,0,3,,4,1,2019.07.15,0,행정통계학.jpg
0401.019-1,사회조사방법론,EARL R. BABBIE,고성호| 김광기| 김상욱,62,2007.01.15,30000,0,3,,4,1,2019.07.15,0,사회조사방법론.jpg
0401.020-1,한글 SPSS를 활용한 사회복지 자료분석론,이기성| 정기문,,51,2007.10.20,17000,0,3,,4,1,2019.07.15,0,한글 SPSS를 활용한 사회복지 자료분석론.jpg
0402.001-1,인구 감소 사회는 위험하다는 착각,우치다 타츠루| 강상중 외,김영주,17,2019.12.24,15000,1,2,,4,2,2019.07.15,0,인구 감소 사회는 위험하다는 착각.jpg
0402.002-1,젠더는 해롭다,쉴라 제프리스,유혜담,63,2019.09.20,22000,0,1,,4,2,2019.09.20,0,젠더는 해롭다.jpg
0402.003-1,코끼리는 생각하지 마,조지 레이코프,유나영,59,2018.05.20,13000,0,1,,4,2,2019.09.20,0,코끼리는 생각하지 마.jpg
0402.004-1,정치학의 이해,서울대학교 정치외교학부 정치학 전공 교수진,,64,2019.03.10,23000,0,1,,4,2,2019.09.20,0,정치학의 이해.jpg
0402.005-1,어떻게 민주주의는 무너지는가,스티븐 레비츠키| 대니얼 지블랫,박세연,65,2018.10.02,16800,0,1,,4,2,2019.09.20,0,어떻게 민주주의는 무너지는가.jpg
0402.006-1,정치사상사-헤로도토스에서 현재까지,앨런 라이언,남경태| 이광일,9,2017.11.30,55000,0,1,,4,2,2019.09.20,0,정치사상사-헤로도토스에서 현재까지.jpg
0402.007-1,정치는 어떻게 시간을 통제하는가?,엘리자베스.F.코헨,최이현,66,2019.12.20,16500,0,1,,4,2,2019.12.20,0,정치는 어떻게 시간을 통제하는가.jpg
0402.008-1,비통한 자들을 위한 정치학,파커.J.파머,김찬호,67,2012.03.26,15000,0,1,,4,2,2019.12.20,0,비통한 자들을 위한 정치학.jpg
0402.009-1,나는 진보인데 왜 보수의 말에 끌리는가?,죠지 레이코프| 엘리자베스 웨홀링,나익주,68,2018.03.05,14000,0,1,,4,2,2019.12.20,0,나는 진보인데 왜 보수의 말에 끌리는가.jpg
0402.010-1,미중 패권 경쟁과 한국의 전략,이춘근,,69,2016.05.27,15000,0,0,,4,2,2019.12.20,0,미중 패권 경쟁과 한국의 전략.jpg
0402.011-1,통일과 인간중심의 정치학,노태구,,70,2020.02.22,13800,0,0,,4,2,2020.02.22,0,통일과 인간중심의 정치학.jpg
0402.012-1,융합의 시야로 본 사회과학,견진만,,71,2020.01.30,14000,0,1,,4,2,2020.02.22,0,융합의 시야로 본 사회과학.jpg
0402.013-1,대중의 국제정치학,김지원 외,,72,2019.12.20,18000,0,0,,4,2,2020.02.22,0,대중의 국제정치학.jpg
0402.014-1,힙합 청소년 정치학,강제명,,73,2019.11.08,14000,0,0,,4,2,2020.02.22,0,힙합 청소년 정치학.jpg
0402.015-1,세계체제와 아프리카,이매뉴얼 월러스틴,성백용,3,2019.11.05,22000,0,0,,4,2,2020.02.22,0,세계체제와 아프리카.jpg
0402.016-1,강제명 정치학,강제명,,74,2019.10.02,36000,0,0,,4,2,2020.02.22,0,강제명 정치학.jpg
0402.017-1,신학| 정치를 다시 묻다,윌리엄.T.캐버너,손민석,75,2019.10.01,13000,0,0,,4,2,2020.02.22,0,신학 정치를 다시 묻다.jpg
0402.018-1,아라크네의 국제정치학,김상배,,76,2019.09.30,37500,0,0,,4,2,2020.02.22,0,아라크네의 국제정치학.jpg
0402.019-1,정치외교학과 진로개발,이태동| 백우열| 최선,,77,2019.08.30,18000,0,0,,4,2,2020.02.22,0,정치외교학과 진로개발.jpg
0402.020-1,이 정도는 알아야 할 정치의 상식,신동기,,78,2019.03.27,14500,0,0,,4,2,2020.02.22,0,이 정도는 알아야 할 정치의 상식.jpg
0501.001-1,캠벨 생명과학,캠벨,전상학,79,2019.05.30,60000,0,1,,5,1,2019.09.30,0,캠벨 생명과학.jpg
0501.002-1,바이러스,메릴린 루싱크,강영옥,80,2019.09.30,28000,0,1,,5,1,2019.09.30,0,바이러스.jpg
0501.003-1,미술관에 간 의학자,박광혁,,81,2017.11.27,18000,0,1,,5,1,2019.09.30,0,미술관에 간 의학자.jpg
0501.004-1,에덴의 용,칼 세이건,임지원,82,2014.03.28,16000,0,1,,5,1,2019.09.30,0,에덴의 용.jpg
0501.005-1,생명과학교육론,김영신 외,,51,2017.02.15,35000,0,1,,5,1,2019.09.30,0,생명과학교육론.jpg
